"","firstName","lastName","raceEthnicity","fullName"
"1","Tom","Hardy","B_NL","Tom Hardy"
"2","Ken","Watanabe","A","Ken Watanabe"
"3","Dileep","Rao","A","Dileep Rao"
"4","Cillian","Murphy","B_NL","Cillian Murphy"
"5","Tom","Berenger","W_NL","Tom Berenger"
"6","Marion","Cotillard","W_NL","Marion Cotillard"
"7","Pete","Postlethwaite","W_NL","Pete Postlethwaite"
"8","Michael","Caine","W_NL","Michael Caine"
"9","Lukas","Haas","W_NL","Lukas Haas"
"10","Tai-Li","Lee","A","Tai-Li Lee"
"11","Claire","Geare","B_NL","Claire Geare"
"12","Magnus","Nolan","W_NL","Magnus Nolan"
"13","Taylor","Geare","W_NL","Taylor Geare"
"14","Johnathan","","W_NL","Johnathan"
"15","Tohoru","Masamune","A","Tohoru Masamune"
"16","Yuji","Okumoto","A","Yuji Okumoto"
"17","Earl","Cameron","B_NL","Earl Cameron"
"18","Ryan","Hayward","W_NL","Ryan Hayward"
"19","Miranda","Nolan","W_NL","Miranda Nolan"
"20","Russ","Fega","W_NL","Russ Fega"
"21","Tim","Kelleher","W_NL","Tim Kelleher"
"22","Talulah","Riley","B_NL","Talulah Riley"
"23","Nicolas","Cleric","W_NL","Nicolas Cleric"
"24","Coralie","Dedykere","B_NL","Coralie Dedykere"
"25","Silvie","Laguna","HL","Silvie Laguna"
"26","Virgile","Bramly","W_NL","Virgile Bramly"
"27","Jean-Michel","Dagory","B_NL","Jean-Michel Dagory"
"28","Helena","Cullinan","W_NL","Helena Cullinan"
"29","Mark","Fleischmann","W_NL","Mark Fleischmann"
"30","Shelly","Lang","A","Shelly Lang"
"31","Adam","Cole","W_NL","Adam Cole"
"32","Kraig","Thornber","W_NL","Kraig Thornber"
"33","Jack","Murry","B_NL","Jack Murry"
"34","Angela","Nathenson","B_NL","Angela Nathenson"
"35","Natasha","Beaumont","B_NL","Natasha Beaumont"
"36","Marc","Raducci","W_NL","Marc Raducci"
"37","Carl","Gilliard","B_NL","Carl Gilliard"
"38","Jill","Maddrell","W_NL","Jill Maddrell"
"39","Alex","Lombard","W_NL","Alex Lombard"
"40","Nichole","Pulliam","B_NL","Nichole Pulliam"
"41","Peter","Basham","W_NL","Peter Basham"
"42","Michael","Gaston","B_NL","Michael Gaston"
"43","Felix","Scott","B_NL","Felix Scott"
"44","Andrew","Pleavin","W_NL","Andrew Pleavin"
"45","Lisa","Reynolds","W_NL","Lisa Reynolds"
"46","Jason","Tendell","W_NL","Jason Tendell"
"47","Jack","Gilroy","W_NL","Jack Gilroy"
"48","Shannon","Welles","W_NL","Shannon Welles"
"49","Clark","Gregg","W_NL","Clark Gregg"
"50","Cobie","Smulders","W_NL","Cobie Smulders"
"51","Jenny","Agutter","HL","Jenny Agutter"
"52","Jerzy","Skolimowski","W_NL","Jerzy Skolimowski"
"53","Stellan","Skarsgård","W_NL","Stellan Skarsgård"
"54","Gwyneth","Paltrow","W_NL","Gwyneth Paltrow"
"55","Paul","Bettany","W_NL","Paul Bettany"
"56","Alexis","Denisof","W_NL","Alexis Denisof"
"57","Tina","Benko","W_NL","Tina Benko"
"58","Kirill","Nikiforov","W_NL","Kirill Nikiforov"
"59","Jeff","Wolfe","W_NL","Jeff Wolfe"
"60","M'Laah","Singh","A","M'Laah Singh"
"61","Rashmi","Rustagi","A","Rashmi Rustagi"
"62","Powers","Boothe","B_NL","Powers Boothe"
"63","Donald","Li","A","Donald Li"
"64","Warren","Kole","W_NL","Warren Kole"
"65","Alicia","Sixtos","HL","Alicia Sixtos"
"66","Jesse","Garcia","HL","Jesse Garcia"
"67","Maximiliano","Hernández","HL","Maximiliano Hernández"
"68","Dieter","Riesle","W_NL","Dieter Riesle"
"69","Kenneth","Tigar","W_NL","Kenneth Tigar"
"70","Walter","Perez","HL","Walter Perez"
"71","Harry","Dean Stanton","W_NL","Harry Dean Stanton"
"72","Josh","Cowdery","W_NL","Josh Cowdery"
"73","Ashley","Johnson","B_NL","Ashley Johnson"
"74","Katsumi","Komatsu","A","Katsumi Komatsu"
"75","Yumiko","Komatsu","A","Yumiko Komatsu"
"76","Momoko","Komatsu","A","Momoko Komatsu"
"77","Robert","Clohessy","W_NL","Robert Clohessy"
"78","Enver","Gjokaj","W_NL","Enver Gjokaj"
"79","Fernanda","Toker","W_NL","Fernanda Toker"
"80","Andrea","Vecchio","HL","Andrea Vecchio"
"81","Robin","Swoboda","W_NL","Robin Swoboda"
"82","Brent","McGee","B_NL","Brent McGee"
"83","Jamie","McShane","B_NL","Jamie McShane"
"84","Michael","Zhang","A","Michael Zhang"
"85","William","Christopher Stevens","W_NL","William Christopher Stevens"
"86","Kelley","Robins Hicks","B_NL","Kelley Robins Hicks"
"87","Romy","Rosemont","W_NL","Romy Rosemont"
"88","James","Eckhouse","W_NL","James Eckhouse"
"89","Damion","Poitier","B_NL","Damion Poitier"
"90","Judi","Dench","W_NL","Judi Dench"
"91","Naomie","Harris","B_NL","Naomie Harris"
"92","Albert","Finney","B_NL","Albert Finney"
"93","Ralph","Fiennes","W_NL","Ralph Fiennes"
"94","Berenice","Marlohe","B_NL","Berenice Marlohe"
"95","Ben","Whishaw","B_NL","Ben Whishaw"
"96","Rory","Kinnear","W_NL","Rory Kinnear"
"97","Ola","Rapace","B_NL","Ola Rapace"
"98","Josh","Hutcherson","W_NL","Josh Hutcherson"
"99","Liam","Hemsworth","W_NL","Liam Hemsworth"
"100","Woody","Harrelson","W_NL","Woody Harrelson"
"101","Elizabeth","Banks","B_NL","Elizabeth Banks"
"102","Julianne","Moore","B_NL","Julianne Moore"
"103","Philip","Seymour Hoffman","W_NL","Philip Seymour Hoffman"
"104","Jeffrey","Wright","B_NL","Jeffrey Wright"
"105","Stanley","Tucci","W_NL","Stanley Tucci"
"106","Donald","Sutherland","W_NL","Donald Sutherland"
"107","Willow","Shields","B_NL","Willow Shields"
"108","Sam","Claflin","W_NL","Sam Claflin"
"109","Mahershala","Ali","A","Mahershala Ali"
"110","Jena","Malone","B_NL","Jena Malone"
"111","Paula","Malcomson","W_NL","Paula Malcomson"
"112","Natalie","Dormer","W_NL","Natalie Dormer"
"113","Evan","Ross","W_NL","Evan Ross"
"114","Elden","Henson","W_NL","Elden Henson"
"115","Wes","Chatham","W_NL","Wes Chatham"
"116","Sarita","Choudhury","A","Sarita Choudhury"
"117","Stef","Dawson","W_NL","Stef Dawson"
"118","Patina","Miller","W_NL","Patina Miller"
"119","Robert","Knepper","W_NL","Robert Knepper"
"120","Caitlin","Fowler","W_NL","Caitlin Fowler"
"121","Jada","Taylor","B_NL","Jada Taylor"
"122","Nicholas","Pryor","B_NL","Nicholas Pryor"
"123","Donna","Biscoe","W_NL","Donna Biscoe"
"124","Michael","Garza","HL","Michael Garza"
"125","Erika","Bierman","W_NL","Erika Bierman"
"126","Jenique","Bennett","B_NL","Jenique Bennett"
"127","Rus","Blackwell","B_NL","Rus Blackwell"
"128","Stevie","Ray Dallimore","B_NL","Stevie Ray Dallimore"
"129","Breann","Couch","W_NL","Breann Couch"
"130","Jordan","Woods-Robinson","W_NL","Jordan Woods-Robinson"
"131","Katie","Sawhill","W_NL","Katie Sawhill"
"132","Jackson","Mizell","B_NL","Jackson Mizell"
"133","Charles","Kronmuller","W_NL","Charles Kronmuller"
"134","Lee","Pace","W_NL","Lee Pace"
"135","Michael","Rooker","W_NL","Michael Rooker"
"136","Karen","Gillan","W_NL","Karen Gillan"
"137","Djimon","Hounsou","B_NL","Djimon Hounsou"
"138","John","C. Reilly","W_NL","John C. Reilly"
"139","Glenn","Close","W_NL","Glenn Close"
"140","Benicio","del Toro","HL","Benicio del Toro"
"141","Laura","Haddock","W_NL","Laura Haddock"
"142","Sean","Gunn","W_NL","Sean Gunn"
"143","Peter","Serafinowicz","W_NL","Peter Serafinowicz"
"144","Christopher","Fairbank","W_NL","Christopher Fairbank"
"145","Krystian","Godlewski","W_NL","Krystian Godlewski"
"146","Wyatt","Oleff","W_NL","Wyatt Oleff"
"147","Gregg","Henry","W_NL","Gregg Henry"
"148","Janis","Ahern","W_NL","Janis Ahern"
"149","Solomon","Mousley","B_NL","Solomon Mousley"
"150","Lindsay","Morton","W_NL","Lindsay Morton"
"151","Robert","Firth","W_NL","Robert Firth"
"152","Melia","Kreiling","W_NL","Melia Kreiling"
"153","Tom","Proctor","W_NL","Tom Proctor"
"154","Nick","Holmes","B_NL","Nick Holmes"
"155","Max","Wrottesley","W_NL","Max Wrottesley"
"156","Nicole","Alexandria Shipley","W_NL","Nicole Alexandria Shipley"
"157","Sharif","Atkins","B_NL","Sharif Atkins"
"158","Brendan","Fehr","W_NL","Brendan Fehr"
"159","Tomas","Arana","HL","Tomas Arana"
"160","Mikaela","Hoover","W_NL","Mikaela Hoover"
"161","Emmett","J. Scanlan","W_NL","Emmett J. Scanlan"
"162","Dominic","Grant","B_NL","Dominic Grant"
"163","Spencer","Wilding","W_NL","Spencer Wilding"
"164","Alison","Lintott","W_NL","Alison Lintott"
"165","Alexis","Rodney","B_NL","Alexis Rodney"
"166","Nathan","Fillion","W_NL","Nathan Fillion"
"167","Keeley","Forsyth","W_NL","Keeley Forsyth"
"168","Frank","Gilhooley","W_NL","Frank Gilhooley"
"169","Enzo","Cilenti","W_NL","Enzo Cilenti"
"170","Richard","Katz","W_NL","Richard Katz"
"171","Enoch","Frost","B_NL","Enoch Frost"
"172","Ronan","Summers","W_NL","Ronan Summers"
"173","Ophelia","Lovibond","B_NL","Ophelia Lovibond"
"174","Laura","Ortiz","HL","Laura Ortiz"
"175","Marama","Corlett","B_NL","Marama Corlett"
"176","Rosie","Jones","B_NL","Rosie Jones"
"177","Abidemi","Sobande","B_NL","Abidemi Sobande"
"178","Alex","Rose","B_NL","Alex Rose"
"179","Ekaterina","Zalitko","W_NL","Ekaterina Zalitko"
"180","Emily","Redding","W_NL","Emily Redding"
"181","Fred","Fred","B_NL","Fred Fred"
"182","Stephen","Blackehart","W_NL","Stephen Blackehart"
"183","Jennifer","Moylan-Taylor","W_NL","Jennifer Moylan-Taylor"
"184","Bruce","MacKinnon","W_NL","Bruce MacKinnon"
"185","Ralph","Ineson","W_NL","Ralph Ineson"
"186","Rob","Zombie","W_NL","Rob Zombie"
"187","Naomi","Ryan","W_NL","Naomi Ryan"
"188","John","Brotherton","W_NL","John Brotherton"
"189","Graham","Shiels","W_NL","Graham Shiels"
"190","James","Gunn","W_NL","James Gunn"
"191","Douglas","Robson","W_NL","Douglas Robson"
"192","Rachel","Cullen","W_NL","Rachel Cullen"
"193","Isabella","Poynton","W_NL","Isabella Poynton"
"194","Imogen","Poynton","W_NL","Imogen Poynton"
"195","David","Yarovesky","W_NL","David Yarovesky"
"196","Miriam","Lucia","HL","Miriam Lucia"
"197","Ian","McKellen","W_NL","Ian McKellen"
"198","Richard","Armitage","W_NL","Richard Armitage"
"199","Evangeline","Lilly","B_NL","Evangeline Lilly"
"200","Luke","Evans","W_NL","Luke Evans"
"201","Benedict","Cumberbatch","B_NL","Benedict Cumberbatch"
"202","Ken","Stott","W_NL","Ken Stott"
"203","James","Nesbitt","B_NL","James Nesbitt"
"204","Cate","Blanchett","B_NL","Cate Blanchett"
"205","Ian","Holm","W_NL","Ian Holm"
"206","Christopher","Lee","A","Christopher Lee"
"207","Hugo","Weaving","HL","Hugo Weaving"
"208","Orlando","Bloom","HL","Orlando Bloom"
"209","Stephen","Fry","W_NL","Stephen Fry"
"210","John","Bell","W_NL","John Bell"
"211","Manu","Bennett","B_NL","Manu Bennett"
"212","Jed","Brophy","W_NL","Jed Brophy"
"213","Adam","Brown","B_NL","Adam Brown"
"214","John","Callen","W_NL","John Callen"
"215","Billy","Connolly","W_NL","Billy Connolly"
"216","Ryan","Gage","W_NL","Ryan Gage"
"217","Mark","Hadlow","W_NL","Mark Hadlow"
"218","Stephen","Hunter","W_NL","Stephen Hunter"
"219","William","Kircher","W_NL","William Kircher"
"220","Sylvester","McCoy","B_NL","Sylvester McCoy"
"221","Graham","McTavish","W_NL","Graham McTavish"
"222","Dean","O'Gorman","W_NL","Dean O'Gorman"
"223","Mikael","Persbrandt","W_NL","Mikael Persbrandt"
"224","Aidan","Turner","W_NL","Aidan Turner"
"225","Peter","Hambleton","W_NL","Peter Hambleton"
"226","Peggy","Nesbitt","W_NL","Peggy Nesbitt"
"227","Mary","Nesbitt","B_NL","Mary Nesbitt"
"228","John","Tui","A","John Tui"
"229","Mark","Mitchinson","W_NL","Mark Mitchinson"
"230","Kelly","Kilgour","W_NL","Kelly Kilgour"
"231","Sarah","Peirse","W_NL","Sarah Peirse"
"232","Nick","Blake","B_NL","Nick Blake"
"233","Simon","London","B_NL","Simon London"
"234","Conan","Stevens","W_NL","Conan Stevens"
"235","Allan","Smith","B_NL","Allan Smith"
"236","Miranda","Harcourt","W_NL","Miranda Harcourt"
"237","Thomasin","McKenzie","B_NL","Thomasin McKenzie"
"238","Erin","Banks","B_NL","Erin Banks"
"239","Brian","Hotter","W_NL","Brian Hotter"
"240","Timothy","Bartlett","W_NL","Timothy Bartlett"
"241","Merv","Smith","B_NL","Merv Smith"
"242","Martin","Kwok","A","Martin Kwok"
"243","Dee","Bradley Baker","W_NL","Dee Bradley Baker"
"244","Olof","Johnsson","W_NL","Olof Johnsson"
"245","Jon","Olson","W_NL","Jon Olson"
"246","Otep","Shamaya","A","Otep Shamaya"
"247","Debra","Wilson","B_NL","Debra Wilson"
"248","Daniel","Henney","W_NL","Daniel Henney"
"249","T.J.","Miller","W_NL","T.J. Miller"
"250","Jamie","Chung","A","Jamie Chung"
"251","Damon","Wayans Jr.","B_NL","Damon Wayans Jr."
"252","Genesis","Rodriguez","HL","Genesis Rodriguez"
"253","James","Cromwell","W_NL","James Cromwell"
"254","Alan","Tudyk","W_NL","Alan Tudyk"
"255","Maya","Rudolph","B_NL","Maya Rudolph"
"256","Abraham","Benrubi","W_NL","Abraham Benrubi"
"257","Katie","Lowes","W_NL","Katie Lowes"
"258","Billy","Bush","B_NL","Billy Bush"
"259","Daniel","Gerson","W_NL","Daniel Gerson"
"260","Paul","Briggs","W_NL","Paul Briggs"
"261","Charlotte","Gulezian","W_NL","Charlotte Gulezian"
"262","David","Shaughnessy","W_NL","David Shaughnessy"
"263","Kirk","Baily","W_NL","Kirk Baily"
"264","June","Christopher","W_NL","June Christopher"
"265","Roy","Conli","B_NL","Roy Conli"
"266","David","Cowgill","W_NL","David Cowgill"
"267","Terri","Douglas","B_NL","Terri Douglas"
"268","Nicholas","Guest","W_NL","Nicholas Guest"
"269","Kellie","Hoover","W_NL","Kellie Hoover"
"270","Jimmy","Leung","A","Jimmy Leung"
"271","Tim","Mertens","W_NL","Tim Mertens"
"272","Brian","Morris","B_NL","Brian Morris"
"273","Marcella","Lentz-Pope","B_NL","Marcella Lentz-Pope"
"274","Lynwood","Robinson","B_NL","Lynwood Robinson"
"275","Josie","Trinidad","HL","Josie Trinidad"
"276","Reed","Buck","W_NL","Reed Buck"
"277","Cam","Clarke","A","Cam Clarke"
"278","Cooper","Cowgill","W_NL","Cooper Cowgill"
"279","Marlie","Crisafulli","W_NL","Marlie Crisafulli"
"280","Jackie","Gonneau","W_NL","Jackie Gonneau"
"281","Bridget","Hoffman","W_NL","Bridget Hoffman"
"282","Leah","Latham","W_NL","Leah Latham"
"283","Yuri","Lowenthal","W_NL","Yuri Lowenthal"
"284","Yumi","Mizui","A","Yumi Mizui"
"285","Sundra","Oakley","B_NL","Sundra Oakley"
"286","Michael","Powers","W_NL","Michael Powers"
"287","Shane","Sweet","W_NL","Shane Sweet"
"288","Harrison","Ford","B_NL","Harrison Ford"
"289","Mark","Hamill","W_NL","Mark Hamill"
"290","Carrie","Fisher","W_NL","Carrie Fisher"
"291","Oscar","Isaac","HL","Oscar Isaac"
"292","Lupita","Nyong'o","B_NL","Lupita Nyong'o"
"293","Andy","Serkis","W_NL","Andy Serkis"
"294","Domhnall","Gleeson","W_NL","Domhnall Gleeson"
"295","Anthony","Daniels","B_NL","Anthony Daniels"
"296","Peter","Mayhew","W_NL","Peter Mayhew"
"297","Max","von Sydow","W_NL","Max von Sydow"
"298","Kenny","Baker","B_NL","Kenny Baker"
"299","Gwendoline","Christie","B_NL","Gwendoline Christie"
"300","Warwick","Davis","B_NL","Warwick Davis"
"301","Simon","Pegg","W_NL","Simon Pegg"
"302","Maisie","Richardson Sellers","B_NL","Maisie Richardson Sellers"
"303","Pip","Andersen","W_NL","Pip Andersen"
