,Rank,Movie,Distributor,Domestic Box Office,Opening Weekend Box Office,Max Theater Count,link
0,1,Top Gun: Maverick,Paramount…,"$718,732,821","$126,707,459",4751,https://www.the-numbers.com/movie/Top-Gun-Maverick-(2020)#tab=summary
1,2,Avatar: The Way of Water,20th Cent…,"$682,862,582","$134,100,226",4340,https://www.the-numbers.com/movie/Avatar-The-Way-of-Water-(2022)#tab=summary
2,3,Black Panther: Wakanda Forever,Walt Disney,"$453,829,060","$181,339,761",4396,https://www.the-numbers.com/movie/Black-Panther-Wakanda-Forever-(2022)#tab=summary
3,4,Doctor Strange in the Multiverse of Madness,Walt Disney,"$411,331,607","$187,420,998",4534,https://www.the-numbers.com/movie/Doctor-Strange-in-the-Multiverse-of-Madness-(2022)#tab=summary
4,5,Jurassic World: Dominion,Universal,"$376,851,080","$145,075,625",4697,https://www.the-numbers.com/movie/Jurassic-World-Dominion-(2022)#tab=summary
5,6,Minions: The Rise of Gru,Universal,"$369,695,210","$107,010,140",4427,https://www.the-numbers.com/movie/Minions-The-Rise-of-Gru-(2021)#tab=summary
6,7,The Batman,Warner Bros.,"$369,345,583","$134,008,624",4417,https://www.the-numbers.com/movie/Batman-The-(2021)#tab=summary
7,8,Thor: Love and Thunder,Walt Disney,"$343,256,830","$144,165,107",4375,https://www.the-numbers.com/movie/Thor-Love-and-Thunder-(2022)#tab=summary
8,9,Sonic the Hedgehog 2,Paramount…,"$190,872,904","$72,105,176",4258,https://www.the-numbers.com/movie/Sonic-the-Hedgehog-2-(2022)#tab=summary
9,10,Puss in Boots: The Last Wish,Universal,"$185,382,830","$12,429,515",4121,https://www.the-numbers.com/movie/Puss-in-Boots-The-Last-Wish-(2022)#tab=summary
10,11,Black Adam,Warner Bros.,"$168,152,111","$67,004,323",4402,https://www.the-numbers.com/movie/Black-Adam#tab=summary
11,12,Elvis,Warner Bros.,"$151,040,048","$31,211,579",3932,https://www.the-numbers.com/movie/Elvis-(2021)#tab=summary
12,13,Uncharted,Sony Pict…,"$148,648,820","$44,010,155",4275,https://www.the-numbers.com/movie/Uncharted-(2022)#tab=summary
13,14,Nope,Universal,"$123,277,080","$44,366,910",3807,https://www.the-numbers.com/movie/Nope-(2022)#tab=summary
14,15,Lightyear,Walt Disney,"$118,307,188","$50,577,961",4255,https://www.the-numbers.com/movie/Lightyear-(2022)#tab=summary
15,16,Smile,Paramount…,"$105,935,048","$22,609,925",3659,https://www.the-numbers.com/movie/Smile-(2022)#tab=summary
16,17,The Lost City,Paramount…,"$105,344,029","$30,453,269",4283,https://www.the-numbers.com/movie/Lost-City-The-(2022)#tab=summary
17,18,Bullet Train,Sony Pict…,"$103,368,602","$30,030,156",4357,https://www.the-numbers.com/movie/Bullet-Train-(2022)#tab=summary
18,19,The Bad Guys,Universal,"$97,233,630","$23,950,245",4042,https://www.the-numbers.com/movie/Bad-Guys-The#tab=summary
19,20,Fantastic Beasts: The Secrets of Dumbledore,Warner Bros.,"$95,850,844","$42,151,256",4245,https://www.the-numbers.com/movie/Fantastic-Beasts-The-Secrets-of-Dumbledore-(2021)#tab=summary
20,21,DC League of Super Pets,Warner Bros.,"$93,657,117","$23,003,441",4332,https://www.the-numbers.com/movie/DC-League-of-Super-Pets-(2022)#tab=summary
21,22,Where the Crawdads Sing,Sony Pict…,"$90,230,760","$17,253,227",3650,https://www.the-numbers.com/movie/Where-the-Crawdads-Sing#tab=summary
22,23,The Black Phone,Universal,"$90,123,230","$23,633,220",3156,https://www.the-numbers.com/movie/Black-Phone-The-(2022)#tab=summary
23,24,Scream,Paramount…,"$81,641,405","$30,018,805",3666,https://www.the-numbers.com/movie/Scream-(2022)#tab=summary
24,25,Everything Everywhere All At Once,A24,"$77,169,474","$501,305",2220,https://www.the-numbers.com/movie/Everything-Everywhere-All-At-Once-(2022)#tab=summary
25,26,Morbius,Sony Pict…,"$73,865,530","$39,005,895",4268,https://www.the-numbers.com/movie/Morbius-(2020)#tab=summary
26,27,Ticket to Paradise,Universal,"$68,275,985","$16,509,095",4066,https://www.the-numbers.com/movie/Ticket-to-Paradise-(2022)#tab=summary
27,28,The Woman King,Sony Pict…,"$67,328,130","$19,051,442",3765,https://www.the-numbers.com/movie/Woman-King-The-(2022)#tab=summary
